datetime,open,high,low,close,volume
2025-12-11 08:30:00,90121.0,90237.97,89971.11,90183.71,256.53113
2025-12-11 09:00:00,90183.71,90468.98,90123.01,90421.02,266.19576
2025-12-11 09:30:00,90421.02,90504.19,90152.55,90234.19,173.50999
2025-12-11 10:00:00,90234.19,90352.59,90172.61,90267.02,135.98349
2025-12-11 10:30:00,90267.01,90349.64,90172.61,90320.15,137.41411
2025-12-11 11:00:00,90320.15,90417.3,90257.98,90259.56,114.60976
2025-12-11 11:30:00,90259.56,90327.21,90210.44,90242.35,164.29084
2025-12-11 12:00:00,90242.36,90348.02,90129.35,90310.77,258.06413
2025-12-11 12:30:00,90310.76,90377.63,90006.01,90032.31,169.94535
2025-12-11 13:00:00,90032.31,90127.87,89982.45,90051.66,213.42875
2025-12-11 13:30:00,90051.66,90169.26,89870.0,90103.53,354.36207
2025-12-11 14:00:00,90103.53,90259.24,90030.0,90139.2,185.8075
2025-12-11 14:30:00,90139.2,90482.01,89260.63,89545.24,1177.33288
2025-12-11 15:00:00,89545.23,90653.33,89406.79,90251.23,705.37727
2025-12-11 15:30:00,90251.24,90276.0,89642.52,89872.51,476.74107
2025-12-11 16:00:00,89872.51,89980.01,89333.0,89563.19,474.44826
2025-12-11 16:30:00,89563.18,90178.04,89464.37,89737.11,367.77693
2025-12-11 17:00:00,89737.11,90260.0,89627.74,90062.52,251.04259
2025-12-11 17:30:00,90062.52,90250.0,89922.66,89983.23,419.90222
2025-12-11 18:00:00,89983.23,90491.0,89891.87,90351.83,380.68126
2025-12-11 18:30:00,90351.84,91197.7,90316.49,90710.5,906.30947
2025-12-11 19:00:00,90710.5,91171.59,90592.14,91124.59,318.68625
2025-12-11 19:30:00,91124.59,91538.26,90758.43,90839.81,525.14391
2025-12-11 20:00:00,90839.81,91483.87,90797.76,91055.16,313.59185
2025-12-11 20:30:00,91055.17,91831.2,91019.55,91792.99,474.30146
2025-12-11 21:00:00,91792.98,93280.01,91706.06,93280.01,1442.06975
2025-12-11 21:30:00,93280.0,93555.0,92798.25,92858.39,997.27807
2025-12-11 22:00:00,92858.4,93195.84,92229.76,92333.12,527.45289
2025-12-11 22:30:00,92333.11,92700.0,92068.9,92352.0,448.69626
2025-12-11 23:00:00,92352.0,92663.57,92337.91,92495.71,511.68485
2025-12-11 23:30:00,92495.71,92800.0,92392.66,92513.38,242.02577
2025-12-12 00:00:00,92513.38,92651.93,92319.95,92386.0,259.74151
2025-12-12 00:30:00,92385.99,92432.47,91448.31,91573.88,528.02266
2025-12-12 01:00:00,91573.88,92168.99,91532.16,92097.09,332.03496
2025-12-12 01:30:00,92097.08,92314.69,92036.96,92170.0,158.55061
2025-12-12 02:00:00,92170.0,92481.89,91927.27,92396.23,390.88413
2025-12-12 02:30:00,92396.23,92748.98,92344.93,92588.79,196.05624
2025-12-12 03:00:00,92588.79,92754.0,92178.37,92237.54,171.4802
2025-12-12 03:30:00,92237.54,92395.31,92215.61,92283.4,127.94298
2025-12-12 04:00:00,92283.4,92349.99,92114.99,92208.0,262.85895
2025-12-12 04:30:00,92208.0,92462.02,92174.78,92396.69,248.48444
2025-12-12 05:00:00,92396.69,92500.0,92078.91,92133.18,199.08763
2025-12-12 05:30:00,92133.19,92478.34,92133.18,92444.42,113.00503
2025-12-12 06:00:00,92444.41,92720.0,92400.0,92600.54,230.4161
2025-12-12 06:30:00,92600.55,92600.55,92463.17,92513.34,116.18744
2025-12-12 07:00:00,92513.34,92565.83,92365.85,92377.8,138.02155
2025-12-12 07:30:00,92377.81,92520.56,92257.8,92425.34,186.14089
2025-12-12 08:00:00,92425.33,92487.25,92173.27,92258.49,253.17104
2025-12-12 08:30:00,92258.49,92370.01,92044.8,92342.39,373.03768
2025-12-12 09:00:00,92342.38,92384.6,92111.03,92113.56,186.87165
2025-12-12 09:30:00,92113.57,92553.33,92094.0,92520.56,174.12954
2025-12-12 10:00:00,92520.56,92650.01,92408.33,92460.04,302.50373
2025-12-12 10:30:00,92460.05,92573.49,92411.1,92492.32,126.56236
2025-12-12 11:00:00,92492.32,92492.33,92275.86,92362.3,125.98445
2025-12-12 11:30:00,92362.3,92418.19,92302.58,92418.19,81.74494
2025-12-12 12:00:00,92418.19,92418.19,92173.43,92182.65,275.82711
2025-12-12 12:30:00,92182.64,92420.0,92070.55,92419.99,261.82233
2025-12-12 13:00:00,92420.0,92531.38,92274.0,92280.33,302.87091
2025-12-12 13:30:00,92280.32,92409.38,92240.14,92302.79,175.23523
2025-12-12 14:00:00,92302.79,92348.52,92111.43,92126.94,352.64731
2025-12-12 14:30:00,92126.94,92660.74,91903.34,92444.0,685.79889
2025-12-12 15:00:00,92444.0,92445.94,90839.01,90842.7,1410.56122
2025-12-12 15:30:00,90842.7,90960.0,89780.0,89935.14,2095.36981
2025-12-12 16:00:00,89935.13,90441.17,89650.01,90409.17,1097.10441
2025-12-12 16:30:00,90409.16,90409.16,89480.0,90046.54,996.25878
2025-12-12 17:00:00,90046.53,90623.72,89835.0,89840.25,809.46589
2025-12-12 17:30:00,89840.25,90307.69,89826.75,90083.09,359.51997
2025-12-12 18:00:00,90083.09,90560.0,90044.93,90540.86,448.8396
2025-12-12 18:30:00,90540.87,90666.0,90276.79,90372.0,445.52634
2025-12-12 19:00:00,90372.0,90399.99,90017.05,90195.55,337.22404
2025-12-12 19:30:00,90195.55,90293.04,90088.92,90198.22,165.38922
2025-12-12 20:00:00,90198.23,90268.13,90020.48,90020.49,235.19722
2025-12-12 20:30:00,90020.48,90334.77,89898.61,90214.08,268.77392
2025-12-12 21:00:00,90214.08,90345.94,90100.0,90178.09,226.99195
2025-12-12 21:30:00,90178.1,90310.85,90178.1,90193.94,93.84625
2025-12-12 22:00:00,90193.94,90395.53,90184.92,90330.5,91.21813
2025-12-12 22:30:00,90330.49,90368.51,90255.47,90335.92,93.04371
2025-12-12 23:00:00,90335.93,90404.13,90292.54,90312.27,105.75278
2025-12-12 23:30:00,90312.28,90371.94,90233.16,90268.42,61.98596
2025-12-13 00:00:00,90268.43,90444.28,90207.2,90307.16,94.29367
2025-12-13 00:30:00,90307.16,90354.59,90299.99,90323.01,90.52453
2025-12-13 01:00:00,90323.01,90359.32,90306.74,90328.07,55.1883
2025-12-13 01:30:00,90328.08,90341.3,90120.0,90229.91,116.35225
2025-12-13 02:00:00,90229.92,90318.0,90221.98,90313.96,82.43272
2025-12-13 02:30:00,90313.97,90313.97,90221.99,90232.77,75.69726
2025-12-13 03:00:00,90232.77,90356.44,90205.52,90338.28,54.66545
2025-12-13 03:30:00,90338.28,90469.71,90331.44,90345.54,79.60911
2025-12-13 04:00:00,90345.55,90359.4,90268.91,90326.24,66.98817
2025-12-13 04:30:00,90326.25,90410.5,90284.91,90371.81,53.11121
2025-12-13 05:00:00,90371.81,90387.51,90336.12,90351.06,57.88808
2025-12-13 05:30:00,90351.07,90356.48,90269.0,90342.91,45.77254
2025-12-13 06:00:00,90342.92,90363.94,90272.41,90278.36,48.52318
2025-12-13 06:30:00,90278.37,90380.0,90270.65,90351.45,58.44956
2025-12-13 07:00:00,90351.45,90386.71,90327.56,90381.94,65.70681
2025-12-13 07:30:00,90381.95,90400.0,90318.56,90329.97,55.0957
2025-12-13 08:00:00,90329.98,90575.28,90318.67,90510.29,214.73525
2025-12-13 08:30:00,90510.3,90558.7,90380.0,90458.19,111.49976
2025-12-13 09:00:00,90458.2,90511.92,90430.89,90430.89,67.48243
2025-12-13 09:30:00,90430.9,90513.53,90387.99,90422.57,96.61286
2025-12-13 10:00:00,90422.57,90531.16,90418.49,90513.8,78.15763
2025-12-13 10:30:00,90513.8,90634.55,90503.71,90595.13,317.64655
2025-12-13 11:00:00,90595.14,90612.32,90444.85,90444.85,194.34492
2025-12-13 11:30:00,90444.86,90447.8,90290.0,90330.36,445.39379
2025-12-13 12:00:00,90330.36,90470.3,90325.42,90325.42,232.53284
2025-12-13 12:30:00,90325.42,90436.0,90276.13,90341.05,259.0542
2025-12-13 13:00:00,90341.05,90450.0,90222.0,90229.99,211.42486
2025-12-13 13:30:00,90230.0,90305.58,90194.34,90245.87,133.2621
2025-12-13 14:00:00,90245.88,90331.74,89961.12,89961.12,410.22638
2025-12-13 14:30:00,89961.13,90311.86,89932.99,90079.7,190.23068
2025-12-13 15:00:00,90079.71,90289.6,90059.67,90138.04,296.05204
2025-12-13 15:30:00,90138.05,90167.1,90031.38,90092.16,174.20583
2025-12-13 16:00:00,90092.17,90268.13,90063.83,90073.23,120.45882
2025-12-13 16:30:00,90073.23,90145.27,90025.65,90087.28,105.79916
2025-12-13 17:00:00,90087.28,90102.08,89981.0,90009.12,116.79935
2025-12-13 17:30:00,90009.13,90095.68,89994.43,90052.61,76.275
2025-12-13 18:00:00,90052.61,90184.34,90047.4,90161.89,83.7856
2025-12-13 18:30:00,90161.9,90171.64,90104.49,90119.89,61.85165
2025-12-13 19:00:00,90119.9,90180.0,90109.62,90130.41,56.26345
2025-12-13 19:30:00,90130.4,90224.8,90130.4,90178.16,54.00435
2025-12-13 20:00:00,90178.17,90209.56,90128.51,90137.53,37.19226
2025-12-13 20:30:00,90137.54,90188.72,90037.57,90088.31,70.03652
2025-12-13 21:00:00,90088.31,90100.0,89915.75,89962.32,104.69905
2025-12-13 21:30:00,89962.33,90184.59,89766.39,90175.97,179.60196
2025-12-13 22:00:00,90175.97,90250.0,89997.14,90090.36,70.77987
2025-12-13 22:30:00,90090.36,90244.49,90090.32,90140.1,83.68174
