datetime,open,high,low,close,volume
2026-03-02 08:40:00,65928.67,66026.14,65908.0,65980.23,32.14722
2026-03-02 08:45:00,65980.23,66079.66,65974.27,66054.74,52.37562
2026-03-02 08:50:00,66054.74,66306.0,66054.73,66213.48,203.15504
2026-03-02 08:55:00,66213.48,66293.46,66213.48,66282.0,46.61854
2026-03-02 09:00:00,66281.99,66394.73,66210.0,66238.35,63.6484
2026-03-02 09:05:00,66238.34,66357.8,66210.0,66356.59,22.85256
2026-03-02 09:10:00,66356.6,66492.2,66356.59,66393.4,42.87467
2026-03-02 09:15:00,66393.41,66602.94,66393.4,66537.86,192.25873
2026-03-02 09:20:00,66537.87,66720.84,66428.08,66492.72,245.43475
2026-03-02 09:25:00,66492.72,66514.49,66385.44,66395.85,186.24292
2026-03-02 09:30:00,66395.86,66519.06,66392.76,66472.39,74.67029
2026-03-02 09:35:00,66472.39,66538.99,66317.9,66386.5,409.24581
2026-03-02 09:40:00,66386.51,66422.78,66316.64,66380.44,166.90816
2026-03-02 09:45:00,66380.44,66383.98,66307.29,66344.86,152.8933
2026-03-02 09:50:00,66344.86,66380.16,66240.93,66302.35,141.35784
2026-03-02 09:55:00,66302.35,66320.24,66164.96,66168.62,87.89683
2026-03-02 10:00:00,66168.61,66352.0,66110.93,66288.66,59.05969
2026-03-02 10:05:00,66288.67,66349.46,66265.73,66316.26,41.15369
2026-03-02 10:10:00,66316.25,66324.96,66079.24,66144.63,59.59447
2026-03-02 10:15:00,66144.62,66202.83,66141.83,66171.72,16.0144
2026-03-02 10:20:00,66171.72,66229.86,66154.04,66223.42,24.07283
2026-03-02 10:25:00,66223.42,66263.71,66153.85,66259.7,17.27869
2026-03-02 10:30:00,66259.71,66291.0,66217.38,66286.18,25.4736
2026-03-02 10:35:00,66286.18,66381.74,66153.86,66381.74,31.23123
2026-03-02 10:40:00,66381.73,66381.73,66225.66,66282.61,29.81837
2026-03-02 10:45:00,66282.61,66290.01,66218.42,66290.0,45.34407
